718.0479736	-0.014615427	-0.011446999	-0.005814956	2.333367257		
717.0456543	-0.014528115	-0.009777039	-0.005573827	2.286877943		
716.0429077	-0.013753965	-0.010494432	-0.005661015	2.1260124		
715.039856	-0.014348382	-0.010990513	-0.005636281	2.297293486		
714.036499	-0.013754717	-0.009433703	-0.004708359	2.337758629		
713.0327759	-0.013232811	-0.008765041	-0.004442991	2.256076		
712.0286865	-0.011669469	-0.008232122	-0.003483343	2.142473314		
711.024292	-0.011377911	-0.008002141	-0.002682287	2.291562857		
710.0195923	-0.009808422	-0.006379826	-0.001930214	2.0549968		
709.0145264	-0.008580013	-0.005494136	-0.001353898	1.888268457		
708.0090942	-0.008391757	-0.004645925	-3.82E-05	2.172683029		
707.0033569	-0.006449561	-0.003153805	0.001787086	2.1649988		
705.9973145	-0.005342791	-0.002477146	0.0034547	2.349817714		
704.9909058	-0.004164642	-0.000765498	0.004141011	2.178806914		
703.9841309	-0.002698238	0.001395604	0.006864381	2.498243029		
702.9771118	-0.000890857	0.001928717	0.007747457	2.3069712		
701.9696655	0.000153893	0.004207161	0.008807859	2.2409464		
700.9619751	0.001680399	0.005037258	0.009213963	1.960626343		
699.9538574	0.002559235	0.005916282	0.011256515	2.293105886		
698.9454956	0.003935437	0.007065347	0.012397707	2.238939429		
697.9367676	0.005183648	0.008661749	0.013045782	2.047575371		
697.0718994	0.006345666	0.010694033	0.014001998	1.939045314		
696.062561	0.008180424	0.011411421	0.015548485	1.920531886		
695.0529175	0.008680235	0.012113333	0.017445337	2.308137829		
694.0429077	0.010756359	0.013780857	0.017445337	1.738308114		
693.0325928	0.010385026	0.01440654	0.020247383	2.588015486		
692.0219116	0.01114684	0.015017586	0.019949231	2.293783371		
691.0109863	0.012209515	0.016031686	0.022632465	2.759575943		
689.9996338	0.013088811	0.015899369	0.02230294	2.472004971		
688.9880371	0.013778798	0.018082129	0.022643672	2.286916514		
687.9760742	0.014446066	0.019052351	0.023902982	2.438759714		
