305nm,,280nm_bp,,280nm,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
612.935791,88.4464798,612.935791,-0.03797628358,612.935791,88.34651947,
612.0493164,88.4381485,612.0493164,-0.03462523967,612.0493164,88.34012604,
611.0148315,88.37395477,611.0148315,-0.05043146759,611.0148315,88.4367218,
609.9799805,88.42240143,609.9799805,0.02935851552,609.9799805,88.43306732,
608.9449463,88.39870453,608.9449463,0.008160378784,608.9449463,88.3449173,
608.0574951,88.44434357,608.0574951,-0.004403152503,608.0574951,88.39492798,
607.0218506,88.52044678,607.0218506,0,607.0218506,88.38790131,
605.9859619,88.59425354,605.9859619,-0.01081470866,605.9859619,88.44182587,
604.9497681,88.48133087,604.9497681,-0.06539306045,604.9497681,88.26652527,
604.0614014,88.43834686,604.0614014,0.01882618666,604.0614014,88.38674164,
603.0247192,88.38442993,603.0247192,-0.02248833515,603.0247192,88.4694519,
601.9876709,88.45777893,601.9876709,-0.04700766876,601.9876709,88.29824829,
600.9504395,88.47137451,600.9504395,-0.06434442103,600.9504395,88.36393738,
600.0610962,88.49473572,600.0610962,0.002235636115,600.0610962,88.36959076,
599.0232544,88.46424103,599.0232544,-0.02899110876,599.0232544,88.33971405,
597.9851685,88.57551575,597.9851685,0.04085574299,597.9851685,88.42586517,
596.9468384,88.58765411,596.9468384,-0.01701186597,596.9468384,88.46426392,
596.0565796,88.45372009,596.0565796,-0.02407550067,596.0565796,88.50939178,
595.0176392,88.55363464,595.0176392,-0.04275331274,595.0176392,88.51016998,
593.9784546,88.61995697,593.9784546,0.0876314491,593.9784546,88.47564697,
592.9390259,88.66210938,592.9390259,-0.008242890239,592.9390259,88.48784637,
592.0478516,88.64951324,592.0478516,0,592.0478516,88.53774261,
591.0078735,88.65330505,591.0078735,0.02575726248,591.0078735,88.58761597,
589.9675903,88.68685913,589.9675903,-0.09159186482,589.9675903,88.66201019,
588.927063,88.62837219,588.927063,-0.1028055996,588.927063,88.65067291,
588.0349731,88.67907715,588.0349731,0.03860214725,588.0349731,88.59176636,
586.9938965,88.81562805,586.9938965,-0.05023343861,586.9938965,88.62364197,
585.9525757,88.74315643,585.9525757,-0.01159581542,585.9525757,88.6192627,
585.0597534,88.84469604,585.0597534,0.08586487174,585.0597534,88.68974304,
584.0179443,88.80036163,584.0179443,0.01403902844,584.0179443,88.68338013,
